Arıza Detayı,lemmatized_text
"The signal 'Output temperature' from the component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' is above the permissible range.",signal output temperature component temperature sensor exhaust gas downstream scr catalytic converter permissible range
"The signal 'Output temperature' from the component '17B03: Temperature sensor, exhaust gas downstream of SCR catalytic converter' is above the permissible range.",signal output temperature component temperature sensor exhaust gas downstream scr catalytic converter permissible range
The component 'AdBlue reversing valve' or its electrical line has a short circuit to positive.,component adblue reversing valve electrical line short circuit positive
The component 'AdBlue reversing valve' or its electrical line has a short circuit to ground.,component adblue reversing valve electrical line short circuit ground
Component AdBlue reversing valve has an open circuit.,component adblue reversing valve open circuit
The SCR catalytic converter is not installed or damaged.,scr catalytic converter installed damaged
The efficiency of the catalytic converter is too low.,efficiency catalytic converter low
The component 'AdBlue metering valve' or its electrical line has a short circuit to positive.,component adblue metering valve electrical line short circuit positive
The component 'AdBlue metering valve' or its electrical line has a short circuit to ground.,component adblue metering valve electrical line short circuit ground
Component AdBlue metering valve has an open circuit.,component adblue metering valve open circuit
Mechanical defect in component AdBlue metering valve,mechanical defect component adblue metering valve
The signal 'Temperature' from the component 'AdBlue metering valve' is above the permissible range.,signal temperature component adblue metering valve permissible range
The component '17K01: AdBlue line heater relay' or its electrical line has a short circuit to positive.,component adblue line heater relay electrical line short circuit positive
The component '17K01: AdBlue line heater relay' or its electrical line has a short circuit to ground.,component adblue line heater relay electrical line short circuit ground
Component 17K01: AdBlue line heater relay has an open circuit.,component adblue line heater relay open circuit
Mechanical defect in component 17K01: AdBlue line heater relay,mechanical defect component adblue line heater relay
Mechanical defect in component Rail pressure control valve,mechanical defect component rail pressure control valve
Fuel Adjustment Regulator Control Open Circuit,fuel adjustment regulator control open circuit
Command Line Interruption,command line interruption
Fuel Adjustment Regulator Control Circuit Low,fuel adjustment regulator control circuit low
Signal Short to Ground Adjustment Control Solenoid,signal short ground adjustment control solenoid
Fuel Shutoff Valve Open Circuit,fuel shutoff valve open circuit
Open Circuit Fuel Shutoff Valve,open circuit fuel shutoff valve
Fuel Shutoff Valve Signal High,fuel shutoff valve signal high
Signal to Positive Line Break to Ground or Short Circuit Solenoid Valve,signal positive line break ground short circuit solenoid valve
Camshaft Inlet Sensor Front Left Bank 1 Circuit Timing Error Low Performance Retard Valve Timing Off Engine Mechanical Error Camshaft Sensor,camshaft inlet sensor front left bank circuit timing error low performance retard valve timing engine mechanical error camshaft sensor
Camshaft Outlet Sensor Rear Right Bank 1 Circuit Timing Error Low Performance Advance Valve Timing Off Engine Mechanical Error Camshaft Sensor,camshaft outlet sensor rear right bank circuit timing error low performance advance valve timing engine mechanical error camshaft sensor
Crankshaft Position Sensor Bank 1 Sensor A Wiring Sensor Mechanical Error,crankshaft position sensor bank sensor wiring sensor mechanical error
Crankshaft Position Sensor Bank 2 Sensor A Wiring Sensor Mechanical Error,crankshaft position sensor bank sensor wiring sensor mechanical error
Crankshaft Position Sensor Bank 2 Sensor B Wiring Sensor Mechanical Error,crankshaft position sensor bank sensor b wiring sensor mechanical error
Camshaft Inlet Sensor Front Left Bank 2 Circuit Error Wiring Camshaft Sensor Engine Electronics,camshaft inlet sensor front left bank circuit error wiring camshaft sensor engine electronics
Camshaft Outlet Sensor Rear Right Bank 2 Circuit Timing Error Low Performance Retard Valve Timing Off Engine Mechanical Error Camshaft Sensor,camshaft outlet sensor rear right bank circuit timing error low performance retard valve timing engine mechanical error camshaft sensor
Outlet Valve Control Solenoid Circuit Bank 1 Performance Inlet Valves Control Solenoid Program,outlet valve control solenoid circuit bank performance inlet valve control solenoid program
Outlet Valve Control Solenoid Circuit Bank 2 Performance Outlet Valves Control Solenoid Program,outlet valve control solenoid circuit bank performance outlet valve control solenoid program
Lambda Probe Heating System Bank 1 Heater 1 Command Line Interruption Sensor Engine Electronics,lambda probe heating system bank heater command line interruption sensor engine electronics
Lambda Probe Heating System Bank 1 Heater 1 Low Command Short to Ground Sensor Engine Electronics,lambda probe heating system bank heater low command short ground sensor engine electronics
Lambda Probe Heating System Bank 1 Heater 1 High Command to Positive Short Circuit Sensor Engine Electronics,lambda probe heating system bank heater high command positive short circuit sensor engine electronics
Turbo Vacuum Adjustment Valve Error Wiring Turbo Vacuum Adjustment Valve Engine Electronics,turbo vacuum adjustment valve error wiring turbo vacuum adjustment valve engine electronics
Turbo Vacuum Adjustment Valve Error Circuit High Wiring Turbo Vacuum Adjustment Valve Engine Electronics Cable Connections Control,turbo vacuum adjustment valve error circuit high wiring turbo vacuum adjustment valve engine electronics cable connection control
O2 Sensor 2 Bank 1 Heating Circuit Low Wiring Sensor Engine Electronics Short to Ground,sensor bank heating circuit low wiring sensor engine electronics short ground
Turbo Charge Bypass Valve Error Performance Wiring Bypass Valve,turbo charge bypass valve error performance wiring bypass valve
O2 Sensor Nonsensical Signal Bank 1 Sensor 2 Bank 2 Sensor 2 Wiring,sensor nonsensical signal bank sensor bank sensor wiring
O2 Sensor 3 Bank 1 Heating Circuit Low Wiring Sensor Engine Electronics Short to Ground,sensor bank heating circuit low wiring sensor engine electronics short ground
Turbo Pressure Control Solenoid Open Circuit Wiring Pressure Control Solenoid,turbo pressure control solenoid open circuit wiring pressure control solenoid
Turbo Pressure Control Solenoid Circuit Low Wiring Short to Ground Pressure Control Solenoid,turbo pressure control solenoid circuit low wiring short ground pressure control solenoid
Turbo Turbine Speed Low Mechanical Error,turbo turbine speed low mechanical error
O2 Sensor 1 Bank 2 Heating Circuit Low Command Short to Ground Sensor Engine Electronics,sensor bank heating circuit low command short ground sensor engine electronics
O2 Sensor Bank 1 Sensor 2 Heating Resistance Error Wiring O2 Sensor,sensor bank sensor heating resistance error wiring sensor
O2 Sensor 2 Bank 2 Heating Circuit Error Wiring Sensor Engine Electronics,sensor bank heating circuit error wiring sensor engine electronics
O2 Sensor Bank 2 Sensor 1 Heating Resistance Error Wiring O2 Sensor,sensor bank sensor heating resistance error wiring sensor
O2 Sensor Bank 2 Sensor 3 Heating Resistance Error Wiring O2 Sensor,sensor bank sensor heating resistance error wiring sensor
O2 Sensor 2 Bank 2 Heating Circuit Low Command Short to Ground Sensor Engine Electronics,sensor bank heating circuit low command short ground sensor engine electronics
Air Assisted Injector Performance Error Air Assisted Injector,air assisted injector performance error air assisted injector
Air Assisted Injector Circuit High Command to Positive Short Circuit Sensor Engine Electronics,air assisted injector circuit high command positive short circuit sensor engine electronics
Air Inlet Mass Meter Air Pressure Control Faulty Air Mass Meter Mechanical Error,air inlet mass meter air pressure control faulty air mass meter mechanical error
Ambient Air Temperature Sensor Performance Issue Ambient Air Temperature Sensor,ambient air temperature sensor performance issue ambient air temperature sensor
Ambient Air Temperature Sensor Input Signal Low Command to Positive Short Circuit Sensor Engine Electronics,ambient air temperature sensor input signal low command positive short circuit sensor engine electronics
Inlet Control Valve Solenoid Bank 1 Circuit Error Wiring Inlet Solenoid Valve Engine Electronics,inlet control valve solenoid bank circuit error wiring inlet solenoid valve engine electronics
Inlet Control Valve Solenoid Bank 1 Circuit Low Command Short to Ground Sensor Engine Electronics,inlet control valve solenoid bank circuit low command short ground sensor engine electronics
Outlet Control Valve Solenoid Bank 1 Circuit Error Wiring Inlet Solenoid Valve Engine Electronics,outlet control valve solenoid bank circuit error wiring inlet solenoid valve engine electronics
Outlet Control Valve Solenoid Bank 1 Circuit High Command to Positive Short Circuit Sensor Engine Electronics,outlet control valve solenoid bank circuit high command positive short circuit sensor engine electronics
Inlet Control Valve Solenoid Bank 2 Circuit Low Command Short to Ground Sensor Engine Electronics,inlet control valve solenoid bank circuit low command short ground sensor engine electronics
Outlet Control Valve Solenoid Bank 2 Circuit Error Wiring Inlet Solenoid Valve Engine Electronics,outlet control valve solenoid bank circuit error wiring inlet solenoid valve engine electronics
Fuel Common Pressure System Low Fuel Pump Fuel Pressure Regulator Fuel Output Blocked Mechanical Error,fuel common pressure system low fuel pump fuel pressure regulator fuel output blocked mechanical error
Fuel Common Pressure System High Fuel Pump Fuel Pressure Regulator Fuel Input Blocked Mechanical Error,fuel common pressure system high fuel pump fuel pressure regulator fuel input blocked mechanical error
Fuel Metering Solenoid Open Circuit Open Circuit Fuel Metering Solenoid Engine Electronics,fuel metering solenoid open circuit open circuit fuel metering solenoid engine electronics
Fuel Metering Solenoid to Positive Short Circuit Command to Positive Short Circuit Sensor Engine Electronics,fuel metering solenoid positive short circuit command positive short circuit sensor engine electronics
Fuel System Low Leakage Cable System Pressure Sensor Mechanical Error,fuel system low leakage cable system pressure sensor mechanical error
Inlet Air Temperature Sensor 2 Circuit Error Wiring Loose Pin Connections Sensor Engine Electronics,inlet air temperature sensor circuit error wiring loose pin connection sensor engine electronics
Inlet Air Temperature Sensor 2 Circuit Performance Error Wiring Loose Pin Connections Sensor Engine Electronics,inlet air temperature sensor circuit performance error wiring loose pin connection sensor engine electronics
Inlet Air Temperature Sensor 2 Circuit Input Signal High Command to Positive Short Circuit Sensor Short Circuit Engine Electronics,inlet air temperature sensor circuit input signal high command positive short circuit sensor short circuit engine electronics
Air Mass Meter Air Adjustment Valve Sensor Circuit Failure Wiring Air Mass Meter Engine Electronics,air mass meter air adjustment valve sensor circuit failure wiring air mass meter engine electronics
Air Mass Meter Circuit Limit Performance Issue Inlet Valves Control Solenoid Program,air mass meter circuit limit performance issue inlet valve control solenoid program
Manifold Pressure Sensor Circuit Failure Wiring Manifold Pressure Sensor Barometric Sensor Engine Electronics,manifold pressure sensor circuit failure wiring manifold pressure sensor barometric sensor engine electronics
Manifold Pressure Sensor Performance Failure Manifold Inlet and Outlet Circuit Leakage Program Air Flow Sensor Barometric Sensor,manifold pressure sensor performance failure manifold inlet outlet circuit leakage program air flow sensor barometric sensor
Manifold Pressure Sensor Input Signal Low Line Short to Ground Air Mass Meter Barometric Sensor Engine Electronics,manifold pressure sensor input signal low line short ground air mass meter barometric sensor engine electronics
Manifold Pressure Sensor Input Signal High Line to Positive Short Circuit Air Mass Meter Barometric Sensor Engine Electronics,manifold pressure sensor input signal high line positive short circuit air mass meter barometric sensor engine electronics
Inlet Air Temperature Sensor Circuit Failure Wiring Sensor Engine Electronics,inlet air temperature sensor circuit failure wiring sensor engine electronics
Inlet Air Temperature Sensor Circuit Input Signal Low Line Short to Ground Sensor Open Circuit Engine Electronics,inlet air temperature sensor circuit input signal low line short ground sensor open circuit engine electronics
Engine Coolant Temperature Sensor Input Signal Low Thermostat Loose Pin Connections Sensor Program Short to Ground,engine coolant temperature sensor input signal low thermostat loose pin connection sensor program short ground
Engine Coolant Temperature Sensor Input Signal High Thermostat Loose Pin Connections Sensor Program to Positive Short Circuit Open Circuit to Ground,engine coolant temperature sensor input signal high thermostat loose pin connection sensor program positive short circuit open circuit ground
Engine Coolant Temperature Sensor Input Signal Intermittent Wiring Loose Pin Connections Sensor Engine Electronics,engine coolant temperature sensor input signal intermittent wiring loose pin connection sensor engine electronics
Throttle Position Sensor Gas Pedal Position Sensor 1 Circuit Failure Wiring Throttle Gas Pedal Sensor Engine Electronics,throttle position sensor gas pedal position sensor circuit failure wiring throttle gas pedal sensor engine electronics
Throttle Position Sensor Gas Pedal Position Sensor 1 Circuit Input Signal Low Command Short to Ground Sensor Engine Electronics,throttle position sensor gas pedal position sensor circuit input signal low command short ground sensor engine electronics
Throttle Position Sensor Gas Pedal Position Sensor 1 Circuit Intermittent Failure Loose Cable or Pin Connections,throttle position sensor gas pedal position sensor circuit intermittent failure loose cable pin connection
Closed Loop Fuel Control Insufficient Coolant Temperature Thermostat or Sensor Circuit Failure,closed loop fuel control insufficient coolant temperature thermostat sensor circuit failure
Idle Operation Insufficient Coolant Temperature Thermostat or Sensor Circuit Failure,idle operation insufficient coolant temperature thermostat sensor circuit failure
Inlet Air Temperature Too High Sensor Failure Mechanical Failure or Digital Engine Electronics,inlet air temperature high sensor failure mechanical failure digital engine electronics
Coolant Thermostat Failure Thermostat Mechanical Failure,coolant thermostat failure thermostat mechanical failure
O2 Sensor Failure Bank 1 Sensor 1 Short Circuit in Bank 1 Circuit Bank 1 Sensor Engine Electronics Program,sensor failure bank sensor short circuit bank circuit bank sensor engine electronics program
O2 Sensor Circuit High Voltage Bank 1 Sensor 1 To Positive Short Circuit Sensor Engine Electronics Failure,sensor circuit high voltage bank sensor positive short circuit sensor engine electronics failure
O2 Sensor Circuit Slow Response Bank 1 Sensor 1 Lambda Heating Failure Program Sensor,sensor circuit slow response bank sensor lambda heating failure program sensor
O2 Sensor Heater Circuit Failure Bank 1 Sensor 1 Fuse Wiring Sensor Engine Electronics,sensor heater circuit failure bank sensor fuse wiring sensor engine electronics
O2 Sensor Circuit Low Voltage Bank 1 Sensor 2 Short Circuit in Bank 1 Circuit Bank 1 Sensor Engine Electronics Wiring,sensor circuit low voltage bank sensor short circuit bank circuit bank sensor engine electronics wiring
O2 Sensor Circuit Slow Response Bank 1 Sensor 2 Lambda Heating Failure Wiring Sensor,sensor circuit slow response bank sensor lambda heating failure wiring sensor
O2 Sensor Circuit No Activity Detected Bank 1 Sensor 2 Software Open Circuit Lambda Heating Sensor,sensor circuit activity detected bank sensor software open circuit lambda heating sensor
O2 Sensor Circuit Failure Bank 1 Sensor 3 Short Circuit in Bank 1 Circuit Bank 1 Sensor Engine Electronics Wiring,sensor circuit failure bank sensor short circuit bank circuit bank sensor engine electronics wiring
O2 Sensor Circuit Slow Response Bank 1 Sensor 3 Lambda Heating Failure Wiring Sensor,sensor circuit slow response bank sensor lambda heating failure wiring sensor
O2 Sensor Heater Circuit Failure Bank 1 Sensor 3 Fuse Program Sensor Engine Electronics,sensor heater circuit failure bank sensor fuse program sensor engine electronics
Fuel System Timing Failure Gasoline Pump Injector Failure,fuel system timing failure gasoline pump injector failure
O2 Sensor Circuit Low Voltage Bank 2 Sensor 1 Fuse Wiring Sensor Engine Electronics,sensor circuit low voltage bank sensor fuse wiring sensor engine electronics
O2 Sensor Heater Circuit Failure Bank 2 Sensor 1 Fuse Wiring Sensor Engine Electronics,sensor heater circuit failure bank sensor fuse wiring sensor engine electronics
O2 Sensor Circuit Low Voltage Bank 2 Sensor 2 Fuse Wiring Sensor Engine Electronics,sensor circuit low voltage bank sensor fuse wiring sensor engine electronics
O2 Sensor Circuit Slow Response Bank 2 Sensor 2 Lambda Heating Failure Wiring Sensor,sensor circuit slow response bank sensor lambda heating failure wiring sensor
O2 Sensor Circuit Failure Bank 2 Sensor 3 Software Open Circuit Lambda Heating Sensor,sensor circuit failure bank sensor software open circuit lambda heating sensor
O2 Sensor Circuit High Voltage Bank 2 Sensor 3 To Positive Short Circuit Sensor Engine Electronics Failure,sensor circuit high voltage bank sensor positive short circuit sensor engine electronics failure
Fuel Temperature Too High Wiring Fuel Temperature Sensor Failure Mechanical Failure,fuel temperature high wiring fuel temperature sensor failure mechanical failure
System Too Lean Bank 2 Air Intake Quantity Failure Fuel Pressure Failure Pump Injector Tank Air Release Valve EGR Valve,system lean bank air intake quantity failure fuel pressure failure pump injector tank air release valve egr valve
Fuel Mixture Circuit Failure Fuel Position Sensor,fuel mixture circuit failure fuel position sensor
Fuel Mixture Sensor Circuit Low Input Fuel Position Sensor Short Circuit Engine Electronics,fuel mixture sensor circuit low input fuel position sensor short circuit engine electronics
Fuel Temperature Sensor A Circuit Failure Fuel Temperature Sensor,fuel temperature sensor circuit failure fuel temperature sensor
Fuel Temperature Sensor A Circuit Low Input To Positive Short Circuit Fuel Temperature Sensor Wiring Engine Electronics,fuel temperature sensor circuit low input positive short circuit fuel temperature sensor wiring engine electronics
Fuel Temperature Sensor A Circuit Intermittent Wiring Fuel Temperature Sensor Engine Electronics,fuel temperature sensor circuit intermittent wiring fuel temperature sensor engine electronics
Fuel Temperature Sensor B Circuit Limit Performance Short to Ground Fuel Temperature Sensor Wiring Engine Electronics,fuel temperature sensor b circuit limit performance short ground fuel temperature sensor wiring engine electronics
Fuel Temperature Sensor B Circuit Low Input To Positive Short Circuit Fuel Temperature Sensor Wiring Engine Electronics,fuel temperature sensor b circuit low input positive short circuit fuel temperature sensor wiring engine electronics
Fuel Line Pressure Sensor Circuit Failure Wiring Rail Pressure Sensor Failure,fuel line pressure sensor circuit failure wiring rail pressure sensor failure
Fuel Line Pressure Sensor Circuit Limit Performance Wiring Rail Pressure Sensor Failure Short to Ground,fuel line pressure sensor circuit limit performance wiring rail pressure sensor failure short ground
Fuel Line Pressure Sensor Circuit High Input Wiring Weak Connector Connections Fuel Temperature Sensor,fuel line pressure sensor circuit high input wiring weak connector connection fuel temperature sensor
Engine Oil Temperature Sensor Circuit Failure EOT Wiring Engine Oil Temperature Sensor Engine Electronics,engine oil temperature sensor circuit failure eot wiring engine oil temperature sensor engine electronics
Engine Oil Temperature Sensor Intermittent Loose Cable or Pin Connections Wiring Sensor Engine Electronics,engine oil temperature sensor intermittent loose cable pin connection wiring sensor engine electronics
Injector Circuit Failure Wiring Injector Engine Electronics,injector circuit failure wiring injector engine electronics
Injector Circuit Failure Cylinder 1 Wiring Injector Engine Electronics,injector circuit failure cylinder wiring injector engine electronics
Injector Circuit Failure Cylinder 4 Wiring Injector Engine Electronics,injector circuit failure cylinder wiring injector engine electronics
Injector Circuit Failure Cylinder 6 Wiring Injector Engine Electronics,injector circuit failure cylinder wiring injector engine electronics
Injector Circuit Failure Cylinder 8 Wiring Injector Engine Electronics,injector circuit failure cylinder wiring injector engine electronics
Injector Circuit Failure Cylinder 10 Wiring Injector Engine Electronics,injector circuit failure cylinder wiring injector engine electronics
Injector Circuit Failure Cylinder 12 Wiring Injector Engine Electronics,injector circuit failure cylinder wiring injector engine electronics
Cold Start Injector 2 Circuit Failure Wiring Cold Start Injector Engine Electronics,cold start injector circuit failure wiring cold start injector engine electronics
Injection Timing Control Circuit Failure Wiring Injection Timing Control Solenoid Engine Electronics,injection timing control circuit failure wiring injection timing control solenoid engine electronics
Transmission Overheat Condition Wiring Transmission Temperature Sensor Transmission Control Module,transmission overheat condition wiring transmission temperature sensor transmission control module
Gas Pedal Position Sensor Throttle Position Sensor 2 Circuit Failure Program Throttle Position Sensor Gas Throttle Position Sensor Switch Engine Electronics,gas pedal position sensor throttle position sensor circuit failure program throttle position sensor gas throttle position sensor switch engine electronics
Gas Pedal Position Sensor Throttle Position Sensor 2 Circuit Low Input Throttle Position Sensor Gas Throttle Position Sensor Short to Ground Engine Electronics,gas pedal position sensor throttle position sensor circuit low input throttle position sensor gas throttle position sensor short ground engine electronics
Gas Pedal Position Sensor Throttle Position Sensor 2 Circuit Intermittent Loose Cable or Pin Connections Program Sensor Engine Electronics,gas pedal position sensor throttle position sensor circuit intermittent loose cable pin connection program sensor engine electronics
Gas Pedal Position Sensor Throttle Position Sensor 3 Circuit Failure Program Throttle Position Sensor Gas Throttle Position Sensor Switch Engine Electronics,gas pedal position sensor throttle position sensor circuit failure program throttle position sensor gas throttle position sensor switch engine electronics
Gas Pedal Position Sensor Throttle Position Sensor 3 Circuit Low Input Throttle Position Sensor Gas Throttle Position Sensor Short to Ground Engine Electronics,gas pedal position sensor throttle position sensor circuit low input throttle position sensor gas throttle position sensor short ground engine electronics
Gas Pedal Position Sensor Throttle Position Sensor 3 Circuit High Input Throttle Position Sensor Gas Throttle Position Sensor To Positive Short Circuit Engine Electronics,gas pedal position sensor throttle position sensor circuit high input throttle position sensor gas throttle position sensor positive short circuit engine electronics
Fuel Pump Primary Circuit Failure Program Fuel Pump Relay Engine Electronics,fuel pump primary circuit failure program fuel pump relay engine electronics
Fuel Pump Secondary Circuit Low Short to Ground Fuel Pump Relay Engine Electronics,fuel pump secondary circuit low short ground fuel pump relay engine electronics
Fuel Pump Secondary Circuit Intermittent Loose Cable or Pin Connections Program Sensor Engine Electronics,fuel pump secondary circuit intermittent loose cable pin connection program sensor engine electronics
Turbo Pressure Above Limit Value Clean Turbo Pipes Turbo Modulator Valve Failure Turbo Wastegate Control,turbo pressure limit value clean turbo pipe turbo modulator valve failure turbo wastegate control
Turbo Charge Pressure Sensor A Performance Check Turbo Hose Connections Check Turbo Pressure Sensor,turbo charge pressure sensor performance check turbo hose connection check turbo pressure sensor
Turbo Charge Boost Sensor A Input Signal High Signal To Positive Line Break or Short Circuit Pressure Sensor Failure Engine Electronics,turbo charge boost sensor input signal high signal positive line break short circuit pressure sensor failure engine electronics
Turbo Charge Boost Sensor B Performance Check Turbo Hose Connections Check Turbo Pressure Sensor,turbo charge boost sensor b performance check turbo hose connection check turbo pressure sensor
Turbo Charge Boost Sensor B Input Signal High Signal To Positive Line Break or Short Circuit Pressure Sensor Failure Engine Electronics,turbo charge boost sensor b input signal high signal positive line break short circuit pressure sensor failure engine electronics
Turbo Solenoid Valve A Performance Error Replace Turbo Solenoid Module,turbo solenoid valve performance error replace turbo solenoid module
Turbo Solenoid Valve A Circuit Signal High Signal To Positive Line Break to Ground or Short Circuit,turbo solenoid valve circuit signal high signal positive line break ground short circuit
Turbo Solenoid Valve B Performance Error Replace Turbo Solenoid Module,turbo solenoid valve b performance error replace turbo solenoid module
Turbo Solenoid Valve B Circuit Signal High Signal To Positive Line Break to Ground or Short Circuit,turbo solenoid valve b circuit signal high signal positive line break ground short circuit
Injection Pump Fuel Metering Control A Limit Performance Injection Pump,injection pump fuel metering control limit performance injection pump
Injection Pump Fuel Metering Control A High Signal To Positive Line Break to Ground or Short Circuit,injection pump fuel metering control high signal positive line break ground short circuit
Injection Pump Fuel Metering Control B Failure Injection Pump Engine Electronics Wiring,injection pump fuel metering control b failure injection pump engine electronics wiring
Injection Pump Fuel Metering Control B Intermittent Check Wiring Cable Connections Injection Pump Engine Electronics,injection pump fuel metering control b intermittent check wiring cable connection injection pump engine electronics
Injector Circuit High Cylinder 1 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics,injector circuit high cylinder signal positive line break ground short circuit injector engine electronics
Injector Circuit Low Cylinder 2 Signal Short to Ground Injector Engine Electronics,injector circuit low cylinder signal short ground injector engine electronics
Cylinder 2 Balance Error Wiring Fuel System Check Engine Electronics,cylinder balance error wiring fuel system check engine electronics
Injector Circuit Low Cylinder 3 Signal Short to Ground Injector Engine Electronics,injector circuit low cylinder signal short ground injector engine electronics
Injector Circuit High Cylinder 3 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics,injector circuit high cylinder signal positive line break ground short circuit injector engine electronics
Injector Circuit Low Cylinder 4 Signal Short to Ground Injector Engine Electronics,injector circuit low cylinder signal short ground injector engine electronics
Injector Circuit High Cylinder 4 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics,injector circuit high cylinder signal positive line break ground short circuit injector engine electronics
Injector Circuit Low Cylinder 5 Signal Short to Ground Injector Engine Electronics,injector circuit low cylinder signal short ground injector engine electronics
Injector Circuit Low Cylinder 6 Signal Short to Ground Injector Engine Electronics,injector circuit low cylinder signal short ground injector engine electronics
Injector Circuit High Cylinder 6 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics,injector circuit high cylinder signal positive line break ground short circuit injector engine electronics
Injector Circuit Low Cylinder 7 Signal Short to Ground Injector Engine Electronics,injector circuit low cylinder signal short ground injector engine electronics
Injector Circuit High Cylinder 7 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics,injector circuit high cylinder signal positive line break ground short circuit injector engine electronics
Cylinder 7 Balance Error Wiring Fuel System Check Engine Electronics,cylinder balance error wiring fuel system check engine electronics
Injector Circuit Low Cylinder 8 Signal Short to Ground Injector Engine Electronics,injector circuit low cylinder signal short ground injector engine electronics
Cylinder 8 Balance Error Wiring Fuel System Check Engine Electronics,cylinder balance error wiring fuel system check engine electronics
Injector Circuit High Cylinder 9 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics,injector circuit high cylinder signal positive line break ground short circuit injector engine electronics
Injector Circuit High Cylinder 10 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics,injector circuit high cylinder signal positive line break ground short circuit injector engine electronics
Injector Circuit High Cylinder 11 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics,injector circuit high cylinder signal positive line break ground short circuit injector engine electronics
Injector Circuit Low Cylinder 12 Signal Short to Ground Injector Engine Electronics,injector circuit low cylinder signal short ground injector engine electronics
Vehicle Speed Signal Nonsensical Wiring VSS Mechanical Error,vehicle speed signal nonsensical wiring v mechanical error
Turbo Super Charge Pressure Low Mechanical Error,turbo super charge pressure low mechanical error
Cylinder 1 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics,cylinder misfire detected engine mechanical error wiring ignition fuel system injector air mass meter engine electronics
Cylinder 3 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics,cylinder misfire detected engine mechanical error wiring ignition fuel system injector air mass meter engine electronics
Cylinder 5 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics,cylinder misfire detected engine mechanical error wiring ignition fuel system injector air mass meter engine electronics
Cylinder 7 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics,cylinder misfire detected engine mechanical error wiring ignition fuel system injector air mass meter engine electronics
Cylinder 9 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics,cylinder misfire detected engine mechanical error wiring ignition fuel system injector air mass meter engine electronics
Cylinder 11 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics,cylinder misfire detected engine mechanical error wiring ignition fuel system injector air mass meter engine electronics
Fuel Mixture Low Fuel System Mechanical Error,fuel mixture low fuel system mechanical error
High RPM Mixture Error Engine Mechanical Error Wiring Ignition Fuel System Injector,high rpm mixture error engine mechanical error wiring ignition fuel system injector
Engine Load Signal Sensor A Circuit Error Wiring Load Signal Sensor A Mechanical Error,engine load signal sensor circuit error wiring load signal sensor mechanical error
Crankshaft RPM Signal Nonsensical Wiring Engine Electronics Crankshaft RPM Sensor,crankshaft rpm signal nonsensical wiring engine electronics crankshaft rpm sensor
Crankshaft RPM Signal Missing Wiring Sensor Engine Electronics Cable Continuity,crankshaft rpm signal missing wiring sensor engine electronics cable continuity
Knock Sensor Error Wiring Sensor Engine Electronics Cable Continuity,knock sensor error wiring sensor engine electronics cable continuity
Knock Sensor Bank 1 Circuit 1 Limit Performance Wiring Sensor Cable Continuity,knock sensor bank circuit limit performance wiring sensor cable continuity
Knock Sensor Bank 1 Circuit 1 High Input Signal To Positive Line Break to Ground or Short Circuit,knock sensor bank circuit high input signal positive line break ground short circuit
Knock Sensor Bank 2 Circuit 2 Failure Wiring Sensor Cable Continuity,knock sensor bank circuit failure wiring sensor cable continuity
Knock Sensor Bank 2 Circuit 2 High Input Signal To Positive Line Break to Ground or Short Circuit,knock sensor bank circuit high input signal positive line break ground short circuit
Crankshaft Position Sensor Circuit Failure Wiring Sensor Engine Electronics,crankshaft position sensor circuit failure wiring sensor engine electronics
Crankshaft Position Sensor Circuit Low Input Signal Short to Ground,crankshaft position sensor circuit low input signal short ground
Camshaft Position Sensor Circuit Failure Sensor A Circuit 1 Wiring Sensor Engine Electronics,camshaft position sensor circuit failure sensor circuit wiring sensor engine electronics
Camshaft Position Sensor Circuit Limit Performance Sensor A Circuit 1 Air Vortex Gap Excessive Sensor Itself Faulty Program,camshaft position sensor circuit limit performance sensor circuit air vortex gap excessive sensor faulty program
Camshaft Position Sensor Circuit High Input Sensor A Circuit 1 Signal To Positive Line Break to Ground or Short Circuit,camshaft position sensor circuit high input sensor circuit signal positive line break ground short circuit
Camshaft Position Sensor Circuit Failure Sensor A Circuit 2 Wiring Sensor Engine Electronics,camshaft position sensor circuit failure sensor circuit wiring sensor engine electronics
