"fault code","code description"
P0049,Air Assisted Injector Performance Error Air Assisted Injector
P0050,Air Assisted Injector Circuit High Command to Positive Short Circuit Sensor Engine Electronics
P0051,Air Inlet Mass Meter Air Pressure Control Faulty Air Mass Meter Mechanical Error
P0052,Ambient Air Temperature Sensor Performance Issue Ambient Air Temperature Sensor
P0054,Ambient Air Temperature Sensor Input Signal Low Command to Positive Short Circuit Sensor Engine Electronics
P0055,Inlet Control Valve Solenoid Bank 1 Circuit Error Wiring Inlet Solenoid Valve Engine Electronics
P0056,Inlet Control Valve Solenoid Bank 1 Circuit Low Command Short to Ground Sensor Engine Electronics
P0057,Outlet Control Valve Solenoid Bank 1 Circuit Error Wiring Inlet Solenoid Valve Engine Electronics
P0058,Outlet Control Valve Solenoid Bank 1 Circuit High Command to Positive Short Circuit Sensor Engine Electronics
P0059,Inlet Control Valve Solenoid Bank 2 Circuit Low Command Short to Ground Sensor Engine Electronics
P0080,Outlet Control Valve Solenoid Bank 2 Circuit Error Wiring Inlet Solenoid Valve Engine Electronics
P0081,Fuel Common Pressure System Low Fuel Pump Fuel Pressure Regulator Fuel Output Blocked Mechanical Error
P0082,Fuel Common Pressure System High Fuel Pump Fuel Pressure Regulator Fuel Input Blocked Mechanical Error
P0083,Fuel Metering Solenoid Open Circuit Open Circuit Fuel Metering Solenoid Engine Electronics
P0084,Fuel Metering Solenoid to Positive Short Circuit Command to Positive Short Circuit Sensor Engine Electronics
P0085,Fuel System Low Leakage Cable System Pressure Sensor Mechanical Error
P0087,Inlet Air Temperature Sensor 2 Circuit Error Wiring Loose Pin Connections Sensor Engine Electronics
P0088,Inlet Air Temperature Sensor 2 Circuit Performance Error Wiring Loose Pin Connections Sensor Engine Electronics
P0089,Inlet Air Temperature Sensor 2 Circuit Input Signal High Command to Positive Short Circuit Sensor Short Circuit Engine Electronics
P0090,Air Mass Meter Air Adjustment Valve Sensor Circuit Failure Wiring Air Mass Meter Engine Electronics
P0091,Air Mass Meter Circuit Limit Performance Issue Inlet Valves Control Solenoid Program
P0092,Manifold Pressure Sensor Circuit Failure Wiring Manifold Pressure Sensor Barometric Sensor Engine Electronics
P0093,Manifold Pressure Sensor Performance Failure Manifold Inlet and Outlet Circuit Leakage Program Air Flow Sensor Barometric Sensor
P0094,Manifold Pressure Sensor Input Signal Low Line Short to Ground Air Mass Meter Barometric Sensor Engine Electronics
P0095,Manifold Pressure Sensor Input Signal High Line to Positive Short Circuit Air Mass Meter Barometric Sensor Engine Electronics
P0096,Inlet Air Temperature Sensor Circuit Failure Wiring Sensor Engine Electronics
P0097,Inlet Air Temperature Sensor Circuit Input Signal Low Line Short to Ground Sensor Open Circuit Engine Electronics
P0098,Engine Coolant Temperature Sensor Input Signal Low Thermostat Loose Pin Connections Sensor Program Short to Ground
P0099,Engine Coolant Temperature Sensor Input Signal High Thermostat Loose Pin Connections Sensor Program to Positive Short Circuit Open Circuit to Ground
P0100,Engine Coolant Temperature Sensor Input Signal Intermittent Wiring Loose Pin Connections Sensor Engine Electronics
P0101,Throttle Position Sensor Gas Pedal Position Sensor 1 Circuit Failure Wiring Throttle Gas Pedal Sensor Engine Electronics
P0102,Throttle Position Sensor Gas Pedal Position Sensor 1 Circuit Input Signal Low Command Short to Ground Sensor Engine Electronics
P0104,Throttle Position Sensor Gas Pedal Position Sensor 1 Circuit Intermittent Failure Loose Cable or Pin Connections
P0105,Closed Loop Fuel Control Insufficient Coolant Temperature Thermostat or Sensor Circuit Failure
P0106,Idle Operation Insufficient Coolant Temperature Thermostat or Sensor Circuit Failure
P0107,Inlet Air Temperature Too High Sensor Failure Mechanical Failure or Digital Engine Electronics
P0108,Coolant Thermostat Failure Thermostat Mechanical Failure
P0129,O2 Sensor Failure Bank 1 Sensor 1 Short Circuit in Bank 1 Circuit Bank 1 Sensor Engine Electronics Program
P0130,O2 Sensor Circuit High Voltage Bank 1 Sensor 1 To Positive Short Circuit Sensor Engine Electronics Failure
P0131,O2 Sensor Circuit Slow Response Bank 1 Sensor 1 Lambda Heating Failure Program Sensor
P0132,O2 Sensor Heater Circuit Failure Bank 1 Sensor 1 Fuse Wiring Sensor Engine Electronics
P0133,O2 Sensor Circuit Low Voltage Bank 1 Sensor 2 Short Circuit in Bank 1 Circuit Bank 1 Sensor Engine Electronics Wiring
P0134,O2 Sensor Circuit Slow Response Bank 1 Sensor 2 Lambda Heating Failure Wiring Sensor
P0135,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 2 Software Open Circuit Lambda Heating Sensor
P0136,O2 Sensor Circuit Failure Bank 1 Sensor 3 Short Circuit in Bank 1 Circuit Bank 1 Sensor Engine Electronics Wiring
P0137,O2 Sensor Circuit Slow Response Bank 1 Sensor 3 Lambda Heating Failure Wiring Sensor
P0138,O2 Sensor Heater Circuit Failure Bank 1 Sensor 3 Fuse Program Sensor Engine Electronics
P0139,Fuel System Timing Failure Gasoline Pump Injector Failure
P0140,O2 Sensor Circuit Low Voltage Bank 2 Sensor 1 Fuse Wiring Sensor Engine Electronics
P0141,O2 Sensor Heater Circuit Failure Bank 2 Sensor 1 Fuse Wiring Sensor Engine Electronics
P0142,O2 Sensor Circuit Low Voltage Bank 2 Sensor 2 Fuse Wiring Sensor Engine Electronics
P0143,O2 Sensor Circuit Slow Response Bank 2 Sensor 2 Lambda Heating Failure Wiring Sensor
P0144,O2 Sensor Circuit Failure Bank 2 Sensor 3 Software Open Circuit Lambda Heating Sensor
P0145,O2 Sensor Circuit High Voltage Bank 2 Sensor 3 To Positive Short Circuit Sensor Engine Electronics Failure
P0146,Fuel Temperature Too High Wiring Fuel Temperature Sensor Failure Mechanical Failure
P0147,System Too Lean Bank 2 Air Intake Quantity Failure Fuel Pressure Failure Pump Injector Tank Air Release Valve EGR Valve
P0148,Fuel Mixture Circuit Failure Fuel Position Sensor
P0149,Fuel Mixture Sensor Circuit Low Input Fuel Position Sensor Short Circuit Engine Electronics
P0150,Fuel Temperature Sensor A Circuit Failure Fuel Temperature Sensor
P0151,Fuel Temperature Sensor A Circuit Low Input To Positive Short Circuit Fuel Temperature Sensor Wiring Engine Electronics
P0152,Fuel Temperature Sensor A Circuit Intermittent Wiring Fuel Temperature Sensor Engine Electronics
P0153,Fuel Temperature Sensor B Circuit Limit Performance Short to Ground Fuel Temperature Sensor Wiring Engine Electronics
P0154,Fuel Temperature Sensor B Circuit Low Input To Positive Short Circuit Fuel Temperature Sensor Wiring Engine Electronics
P0155,Fuel Line Pressure Sensor Circuit Failure Wiring Rail Pressure Sensor Failure
P0156,Fuel Line Pressure Sensor Circuit Limit Performance Wiring Rail Pressure Sensor Failure Short to Ground
P0157,Fuel Line Pressure Sensor Circuit High Input Wiring Weak Connector Connections Fuel Temperature Sensor
P0158,Engine Oil Temperature Sensor Circuit Failure EOT Wiring Engine Oil Temperature Sensor Engine Electronics
P0159,Engine Oil Temperature Sensor Intermittent Loose Cable or Pin Connections Wiring Sensor Engine Electronics
P0160,Injector Circuit Failure Wiring Injector Engine Electronics
P0161,Injector Circuit Failure Cylinder 1 Wiring Injector Engine Electronics
P0202,Injector Circuit Failure Cylinder 4 Wiring Injector Engine Electronics
P0204,Injector Circuit Failure Cylinder 6 Wiring Injector Engine Electronics
P0205,Injector Circuit Failure Cylinder 8 Wiring Injector Engine Electronics
P0206,Injector Circuit Failure Cylinder 10 Wiring Injector Engine Electronics
P0207,Injector Circuit Failure Cylinder 12 Wiring Injector Engine Electronics
P0208,Cold Start Injector 2 Circuit Failure Wiring Cold Start Injector Engine Electronics
P0209,Injection Timing Control Circuit Failure Wiring Injection Timing Control Solenoid Engine Electronics
P0210,Transmission Overheat Condition Wiring Transmission Temperature Sensor Transmission Control Module
P0211,Gas Pedal Position Sensor Throttle Position Sensor 2 Circuit Failure Program Throttle Position Sensor Gas Throttle Position Sensor Switch Engine Electronics
P0212,Gas Pedal Position Sensor Throttle Position Sensor 2 Circuit Low Input Throttle Position Sensor Gas Throttle Position Sensor Short to Ground Engine Electronics
P0213,Gas Pedal Position Sensor Throttle Position Sensor 2 Circuit Intermittent Loose Cable or Pin Connections Program Sensor Engine Electronics
P0214,Gas Pedal Position Sensor Throttle Position Sensor 3 Circuit Failure Program Throttle Position Sensor Gas Throttle Position Sensor Switch Engine Electronics
P0215,Gas Pedal Position Sensor Throttle Position Sensor 3 Circuit Low Input Throttle Position Sensor Gas Throttle Position Sensor Short to Ground Engine Electronics
P0216,Gas Pedal Position Sensor Throttle Position Sensor 3 Circuit High Input Throttle Position Sensor Gas Throttle Position Sensor To Positive Short Circuit Engine Electronics
P0217,Fuel Pump Primary Circuit Failure Program Fuel Pump Relay Engine Electronics
P0218,Fuel Pump Secondary Circuit Low Short to Ground Fuel Pump Relay Engine Electronics
P0219,Fuel Pump Secondary Circuit Intermittent Loose Cable or Pin Connections Program Sensor Engine Electronics
P0220,Turbo Pressure Above Limit Value Clean Turbo Pipes Turbo Modulator Valve Failure Turbo Wastegate Control
P0221,Turbo Charge Pressure Sensor A Performance Check Turbo Hose Connections Check Turbo Pressure Sensor
P0222,Turbo Charge Boost Sensor A Input Signal High Signal To Positive Line Break or Short Circuit Pressure Sensor Failure Engine Electronics
P0223,Turbo Charge Boost Sensor B Performance Check Turbo Hose Connections Check Turbo Pressure Sensor
P0224,Turbo Charge Boost Sensor B Input Signal High Signal To Positive Line Break or Short Circuit Pressure Sensor Failure Engine Electronics
P0225,Turbo Solenoid Valve A Performance Error Replace Turbo Solenoid Module
P0226,Turbo Solenoid Valve A Circuit Signal High Signal To Positive Line Break to Ground or Short Circuit
P0227,Turbo Solenoid Valve B Performance Error Replace Turbo Solenoid Module
P0228,Turbo Solenoid Valve B Circuit Signal High Signal To Positive Line Break to Ground or Short Circuit
P0229,Injection Pump Fuel Metering Control A Limit Performance Injection Pump
P0230,Injection Pump Fuel Metering Control A High Signal To Positive Line Break to Ground or Short Circuit
P0231,Injection Pump Fuel Metering Control B Failure Injection Pump Engine Electronics Wiring
P0232,Injection Pump Fuel Metering Control B Intermittent Check Wiring Cable Connections Injection Pump Engine Electronics
P0233,Injector Circuit High Cylinder 1 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics
P0234,Injector Circuit Low Cylinder 2 Signal Short to Ground Injector Engine Electronics
P0235,Cylinder 2 Balance Error Wiring Fuel System Check Engine Electronics
P0236,Injector Circuit Low Cylinder 3 Signal Short to Ground Injector Engine Electronics
P0237,Injector Circuit High Cylinder 3 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics
P0238,Injector Circuit Low Cylinder 4 Signal Short to Ground Injector Engine Electronics
P0239,Injector Circuit High Cylinder 4 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics
P0240,Injector Circuit Low Cylinder 5 Signal Short to Ground Injector Engine Electronics
P0241,Injector Circuit Low Cylinder 6 Signal Short to Ground Injector Engine Electronics
P0242,Injector Circuit High Cylinder 6 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics
P0243,Injector Circuit Low Cylinder 7 Signal Short to Ground Injector Engine Electronics
P0244,Injector Circuit High Cylinder 7 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics
P0245,Cylinder 7 Balance Error Wiring Fuel System Check Engine Electronics
P0246,Injector Circuit Low Cylinder 8 Signal Short to Ground Injector Engine Electronics
P0247,Cylinder 8 Balance Error Wiring Fuel System Check Engine Electronics
P0248,Injector Circuit High Cylinder 9 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics
P0249,Injector Circuit High Cylinder 10 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics
P0250,Injector Circuit High Cylinder 11 Signal To Positive Line Break to Ground or Short Circuit Injector Engine Electronics
P0251,Injector Circuit Low Cylinder 12 Signal Short to Ground Injector Engine Electronics
P0252,Vehicle Speed Signal Nonsensical Wiring VSS Mechanical Error
P0253,Turbo Super Charge Pressure Low Mechanical Error
P0254,Cylinder 1 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics
P0255,Cylinder 3 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics
P0256,Cylinder 5 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics
P0257,Cylinder 7 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics
P0258,Cylinder 9 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics
P0259,Cylinder 11 Misfire Detected Engine Mechanical Error Wiring Ignition Fuel System Injector Air Mass Meter Engine Electronics
P0260,Fuel Mixture Low Fuel System Mechanical Error
P0261,High RPM Mixture Error Engine Mechanical Error Wiring Ignition Fuel System Injector
P0262,Engine Load Signal Sensor A Circuit Error Wiring Load Signal Sensor A Mechanical Error
P0263,Crankshaft RPM Signal Nonsensical Wiring Engine Electronics Crankshaft RPM Sensor
P0264,Crankshaft RPM Signal Missing Wiring Sensor Engine Electronics Cable Continuity
P0265,Knock Sensor Error Wiring Sensor Engine Electronics Cable Continuity
P0266,Knock Sensor Bank 1 Circuit 1 Limit Performance Wiring Sensor Cable Continuity
P0267,Knock Sensor Bank 1 Circuit 1 High Input Signal To Positive Line Break to Ground or Short Circuit
P0268,Knock Sensor Bank 2 Circuit 2 Failure Wiring Sensor Cable Continuity
P0269,Knock Sensor Bank 2 Circuit 2 High Input Signal To Positive Line Break to Ground or Short Circuit
P0270,Crankshaft Position Sensor Circuit Failure Wiring Sensor Engine Electronics
P0271,Crankshaft Position Sensor Circuit Low Input Signal Short to Ground
P0272,Camshaft Position Sensor Circuit Failure Sensor A Circuit 1 Wiring Sensor Engine Electronics
P0273,Camshaft Position Sensor Circuit Limit Performance Sensor A Circuit 1 Air Vortex Gap Excessive Sensor Itself Faulty Program
P0274,Camshaft Position Sensor Circuit High Input Sensor A Circuit 1 Signal To Positive Line Break to Ground or Short Circuit
P0275,Camshaft Position Sensor Circuit Failure Sensor A Circuit 2 Wiring Sensor Engine Electronics
P0276,Camshaft Position Sensor Circuit Limit Performance Sensor A Circuit 2 Air Vortex Gap Excessive Sensor Itself Faulty Program
P0277,Camshaft Position Sensor Circuit High Input Sensor A Circuit 2 Signal To Positive Line Break to Ground or Short Circuit
P0278,Ignition Coil Primary Secondary Circuit Failure Wiring Ignition Coil Engine Electronics
P0279,Ignition Coil Primary B Secondary Circuit Failure Wiring Ignition Coil Engine Electronics
P0280,Ignition Coil Primary D Secondary Circuit Failure Wiring Ignition Coil Engine Electronics
P0281,Ignition Coil Primary E Secondary Circuit Failure Wiring Ignition Coil Engine Electronics
P0282,Ignition Coil Primary G Secondary Circuit Failure Wiring Ignition Coil Engine Electronics
P0283,Ignition Coil Primary J Secondary Circuit Failure Wiring Ignition Coil Engine Electronics
P0284,Ignition Coil Primary L Secondary Circuit Failure Wiring Ignition Coil Engine Electronics
P0285,Camshaft Position Sensor Circuit Failure Sensor B Circuit 1 Wiring Sensor Engine Electronics
P0286,Camshaft Position Sensor Circuit Low Input Sensor B Circuit 1 Signal Short to Ground
P0287,Camshaft Position Sensor Circuit Intermittent Sensor B Circuit 1 Wiring Loose Pin Connections Sensor Engine Electronics
P0288,Timing Reference High Dispersion Signal A Intermittent Wiring Pin Connection Controller Crankshaft RPM Sensor Camshaft Sensor Failure Engine Electronics
P0289,Timing Reference High Dispersion Signal B Failure Wiring Crankshaft RPM Sensor Camshaft Sensor Failure Engine Electronics
P0290,Timing Reference High Dispersion Signal B Too Few Knocks Wiring Crankshaft RPM Sensor Camshaft Sensor Failure Engine Electronics
P0291,Timing Reference High Dispersion Signal B No Knock Wiring Crankshaft RPM Sensor Camshaft Sensor Failure Engine Electronics
P0292,Glow Plug Circuit B Failure Wiring Glow Plug Relay Fuse Engine Electronics
P0293,Glow Plug Control Unit Signal High Wiring Glow Plug Control Unit Engine Electronics
P0294,Crankshaft Position Sensor B Circuit Limit Performance Air Vortex Gap Excessive Sensor Itself Faulty Program
P0295,Crankshaft Position Sensor B Circuit High Input Signal To Positive Line Break to Ground or Short Circuit
P0296,Camshaft Position Sensor Circuit Failure Sensor B Circuit 2 Wiring Sensor Engine Electronics
P0297,Camshaft Position Sensor Circuit High Input Sensor B Circuit 2 Signal To Positive Line Break to Ground or Short Circuit
P0298,EGR Flow Failure Pipe Connection Error EGR Solenoid Valve EGR Valve
P0299,EGR Excessive Flow Detected Pipe Connection Error EGR Solenoid Valve EGR Valve
P0300,EGR Circuit Limit Performance Pipe Connection Error EGR Solenoid Valve EGR Valve
P0301,EGR Sensor A Circuit High Input Signal To Positive Line Break to Ground or Short Circuit
P0302,EGR Sensor B Circuit High Input Signal To Positive Line Break to Ground or Short Circuit
P0303,EGR Sensor A Circuit Failure Wiring Loose Pin Connections EGR Valve Potential Sensor Engine Electronics
P0304,Secondary Air Injection System Failure Air Pump Air Valve Air Hoses
P0305,Secondary Air Injection System Solenoid A Circuit Open Circuit Software Open Circuit Air Solenoid Valve Engine Electronics
P0306,Secondary Air Injection System Solenoid B Circuit Error Program Air Solenoid Engine Electronics
P0307,Secondary Air Injection System Solenoid B Circuit Short Circuit Software Open Circuit Air Solenoid Valve Engine Electronics
P0308,Secondary Air Injection Pump Relay B Error Wiring Air Pump Relay Pump Engine Electronics
P0309,Catalytic Efficiency Below Threshold Bank 1 Catalytic Converter Program O2 Sensor
P0310,Heated Catalytic Below Threshold Bank 1 Catalytic Converter Program O2 Sensor
P0311,Catalytic Converter Heating Sensor Bank 1 Wiring Loose Pin Connections Catalytic Converter Temperature Sensor Engine Electronics
P0312,Catalytic Converter Heating Sensor High Input Bank 1 Wiring To Positive Short Circuit Catalytic Converter Temperature Sensor Engine Electronics
P0313,Catalytic System Efficiency Below Threshold Bank 2 Catalytic Converter Program O2 Sensor
P0314,Catalytic Heating Below Threshold Bank 2 Catalytic Converter Program O2 Sensor
P0315,Main Catalytic Below Threshold Bank 2 Catalytic Converter Program O2 Sensor
P0316,Heated Catalytic Below Threshold Bank 2 Catalytic Converter Program O2 Sensor
P0317,Catalytic Converter Heating Sensor Bank 2 Wiring Loose Pin Connections Catalytic Converter Temperature Sensor Engine Electronics
P0318,Catalytic Converter Heating Sensor Low Input Bank 2 Wiring Short to Ground Catalytic Converter Temperature Sensor Engine Electronics
P0319,Catalytic Converter Heating System Error Bank 2 Wiring Relay Engine Electronics
P0320,Fuel Tank Emission Control System Purge Control Valve Circuit Open Engine Wiring Open Circuit Tank Air Release Valve Engine Electronics
P0321,Fuel Tank Emission Control System Ventilation Failure Wiring Tank Air Release Valve Engine Electronics
P0322,Fuel Tank Emission Control System Ventilation Circuit Open Engine Wiring Open Circuit Tank Air Release Valve Engine Electronics
P0323,Fuel Tank Emission Control System Pressure Sensor Failure Engine Wiring Open Circuit Tank Air Release Pressure Sensor Engine Electronics
P0324,Fuel Tank Emission Control System Pressure Sensor Low Input Engine Wiring Short to Ground Tank Air Release Pressure Sensor Engine Electronics
P0325,Fuel Tank Emission Control System Pressure Sensor Intermittent Program Loose Pin Connections Tank Air Release Pressure Sensor Engine Electronics
P0326,Fuel Tank Emission Control System Leak Detected Total Leak No Flow Fuel Tank Hose Connections Problem Air Release Pressure Valve Air Release Pressure Sensor Error Engine Electronics
P0327,Fuel Tank Emission Control System Filter Clogged Fuel Tank Hose Connections Problem Air Release Pressure Valve Air Release Pressure Sensor Error
P0328,Fuel Tank Emission Control System Tank Air Release Valve Signal High Engine Wiring To Positive Short Circuit Tank Air Release Pressure Valve Engine Electronics
P0329,Fuel Tank Float Sensor Circuit Limit Performance Engine Wiring Open Circuit Fuel Tank Float Sensor
P0330,Fuel Tank Emission Control System Purge Flow Sensor Low Input Engine Wiring Short to Ground Fuel Tank Emission Control System Purge Flow Sensor Engine Electronics
P0331,Fuel Tank Emission Control System Purge Flow Sensor High Input Engine Wiring To Positive Short Circuit Fuel Tank Emission Control System Purge Flow Sensor Engine Electronics
P0332,Exhaust Pressure Sensor Failure Engine Wiring Open Circuit Exhaust Pressure Sensor Engine Electronics
P0333,Exhaust Pressure Sensor Low Engine Wiring Short to Ground Exhaust Pressure Sensor Engine Electronics
P0334,Exhaust Pressure Sensor High Engine Wiring To Positive Short Circuit Exhaust Pressure Sensor Engine Electronics
P0335,Exhaust Pressure Sensor Intermittent Engine Wiring Open Circuit Loose Pin and Cable Connections Exhaust Pressure Sensor Engine Electronics
P0336,Exhaust Pressure Control Valve Failure Engine Wiring Open Circuit Exhaust Pressure Control Valve Engine Electronics
P0337,Engine Cooling Fan 1 Control Circuit Failure Engine Wiring Open Circuit Engine Cooling Fan Motor Engine Electronics
P0338,Engine Cooling Fan 2 Control Circuit Failure Engine Wiring Open Circuit Engine Cooling Fan Motor Engine Electronics
P0339,Engine Cooling Fan 3 Control Circuit Failure Engine Wiring Open Circuit Engine Cooling Fan Motor Engine Electronics
P0340,Engine Cooling Fan Proportionality Control Failure Engine Wiring Open Circuit Engine Cooling Fan Motor Engine Electronics
P0341,Exhaust Gas Recirculation System Gas Pedal Potentiometer Control System Error Wiring Loose Pin Connections Engine Electronics
P0342,Exhaust Gas Recirculation System Gas Pedal Potentiometer Control System Signal Low Wiring Loose Pin Connections Line Break or Short to Ground EGR Valve Position Sensor Engine Electronics
P0343,Exhaust Gas Recirculation System Gas Pedal Potentiometer Control System Signal High Wiring Loose Pin Connections Line Break or To Positive Short Circuit EGR Valve Position Sensor Engine Electronics
P0344,Secondary Air Injection System Bank 1 Error Wiring Loose Pin Connections Hose Connections Air Solenoid Engine Electronics
P0345,Secondary Air Injection System Bank 2 Error Wiring Loose Pin Connections Hose Connections Air Solenoid Engine Electronics
P0346,Engine Coolant Fan Motor RPM Low Wiring Engine Coolant Fan Motor Mechanical Error
P0347,Evaporative Emission System EVAP Pressure High Wiring Evaporative Emission Valve EVAP Mechanical Error
P0348,Evaporative Emission System EVAP Pressure Circuit Low Leak Wiring Line Break or Short to Ground Evaporative Emission Valve EVAP
P0349,Idle Air Control System RPM Lower Than Expected Wiring Air Control Valve Throttle Throttle Valve Engine Electronics
P0350,Idle Air Control Circuit Error Wiring Loose Pin Connections Idle Air Control Valve Engine Electronics
P0351,Starter Request Circuit Error Wiring Immobilizer System Relay
P0352,Idle Air Control Circuit Intermittent Wiring Air Control Valve Loose Pin Connections Engine Electronics
P0353,Idle Air Control Circuit Performance Wiring Air Control Valve Loose Pin Connections Engine Electronics
P0354,Engine Coolant Fan Speed Sensor Circuit Error Wiring Loose Pin Connections and Cable Connections Coolant Fan Motor Sensor Engine Electronics
P0355,Engine Coolant Fan Speed Sensor Circuit Performance Wiring Loose Pin Connections and Cable Connections Coolant Fan Motor Sensor Engine Electronics
P0356,Engine Coolant Fan Speed Sensor Circuit Intermittent Wiring Loose Pin Connections and Cable Connections Coolant Fan Motor Sensor Engine Electronics
P0357,Air Conditioner Refrigerant Pressure Sensor Circuit Failure Wiring Air Conditioner Refrigerant Pressure Sensor Engine Electronics
P0358,Air Conditioner Refrigerant Pressure Sensor Circuit Low Input Wiring Coolant Quantity Low Complete Gas Quantity Air Conditioner Refrigerant Pressure Sensor Engine Electronics
P0359,Air Conditioner Refrigerant Pressure Sensor Circuit High Input Wiring Coolant Quantity High Complete Gas Quantity Air Conditioner Refrigerant Pressure Sensor Engine Electronics
P0360,Air Conditioner Refrigerant Charge Loss Leak in Air Conditioner Check Air Conditioner Pipes Air Conditioner Refrigerant Sensor
P0361,Air Conditioner Evaporator Temperature Sensor Circuit Performance Wiring Loose Pin Connections and Cable Connections Evaporator Temperature Sensor Engine Electronics
P0362,Air Conditioner Evaporator Temperature Sensor Circuit Low Signal Wiring Loose Pin Connections and Cable Connections Short to Ground Evaporator Temperature Sensor Engine Electronics
P0363,Air Conditioner Evaporator Temperature Sensor Circuit Intermittent Wiring Loose Pin Connections and Cable Connections Evaporator Temperature Sensor Engine Electronics
P0364,Inlet Air Temperature Heater A Circuit Signal Low Wiring Inlet Air Temperature Heater Line Break or Short to Ground Relay
P0365,Inlet Air Temperature Heater A Circuit Signal High Wiring Inlet Air Temperature Heater Line Break or To Positive Short Circuit Relay
P0366,Inlet Air Temperature Heater A Circuit Signal Open Circuit Wiring Inlet Air Temperature Heater Relay
P0367,Catalytic Converter Pre-Exhaust Gas Temperature Sensor Circuit Bank 1 Signal Low Wiring Catalytic Converter Pre-Exhaust Gas Temperature Sensor Short to Ground Engine Electronics
P0368,Hydraulic Steering Pressure Sensor Circuit Failure Wiring Hydraulic Steering Pressure Sensor Engine Electronics
P0369,Hydraulic Steering Pressure Sensor Circuit Limit Performance Wiring Hydraulic Steering Pressure Sensor Bypass System
P0370,Hydraulic Steering Pressure Sensor Circuit Low Input Wiring Hydraulic Steering Pressure Sensor Short to Ground Engine Electronics
P0371,Hydraulic Steering Pressure Sensor Circuit High Input Wiring Hydraulic Steering Pressure Sensor To Positive Short Circuit Engine Electronics
P0372,Hydraulic Steering Pressure Sensor Circuit Intermittent Wiring Hydraulic Steering Pressure Sensor Loose Pin Connections and Cable Check Engine Electronics
P0373,Brake Servo Pressure Sensor Circuit Failure Wiring Brake Servo Pressure Sensor Loose Pin and Cable Connections Engine Electronics
P0374,Brake Servo Pressure Sensor Circuit Signal High Wiring Brake Servo Pressure Sensor To Positive Short Circuit Engine Electronics
P0375,System Voltage Failure Wiring Loose Pin and Cable Connections Battery Alternator
P0376,System Voltage High Alternator
P0377,Cruise Control System On Signal Error Wiring Cruise Control Switches Engine Electronics
P0378,Cruise Control System Set Switch Fixing Signal Error Wiring Cruise Control Switches Engine Electronics
P0379,Cruise Control System Set Switch Timing Signal Error Wiring Cruise Control Switches Engine Electronics
P0380,Cruise Control System Pedal Sensor Error Wiring Cruise Control Pedal Sensor Engine Electronics
P0381,Cruise Control System Brake Switch A Circuit Low Wiring Loose Pin Connections Cruise Control System Multi-Function Switch Short to Ground Mechanical Error
P0382,Cruise Control System Vehicle Speed Signal High Mechanical Error
P0383,Cruise Control System Input Circuit Signal Low Wiring Loose Pin Connections Cruise Control System Multi-Function Switch Short to Ground Mechanical Error
P0384,Cruise Control System Multi-Function Switch Input Circuit A Limited Performance Wiring Cruise Control System Multi-Function Switch Bypass System
P0385,Cruise Control System Multi-Function Switch Input Circuit A Signal High Wiring Cruise Control System Multi-Function Switch To Positive Short Circuit Mechanical Error
P0386,Cruise Control System Vacuum Control Circuit Open Wiring Cruise Control System Vacuum Control Circuit Bypass System
P0387,Cruise Control System Vacuum Control Circuit High Wiring Cruise Control System Vacuum Control Circuit To Positive Short Circuit Mechanical Error
P0388,Cruise Control System Vent Control Circuit Open Wiring Cruise Control System Vent Solenoid Bypass System
P0389,Cruise Control System Vent Control Circuit Low Wiring Cruise Control System Vent Solenoid Short to Ground Engine Electronics
P0390,Cruise Control System Multi-Function Switch Input Circuit B Stuck Wiring Loose Pin Connections Cruise Control System Multi-Function Switch Engine Electronics
P0391,Cruise Control System Multi-Function Switch Input Circuit B Limited Performance Wiring Loose Pin Connections Cruise Control System Multi-Function Switch Bypass System
P0392,Cruise Control System Multi-Function Switch Input Circuit B Signal Low Wiring Loose Pin Connections Cruise Control System Multi-Function Switch Short to Ground Engine Electronics
P0393,Cruise Control System Multi-Function Switch Input Circuit B Signal High Wiring Loose Pin Connections Cruise Control System Multi-Function Switch To Positive Short Circuit Engine Electronics
P0394,Cruise Control System Connection Assembly Open Wiring Loose Pin Connections Cruise Control System Multi-Function Switch Bypass System
P0395,Cruise Control System Connection Assembly Signal High Wiring Loose Pin Connections Cruise Control System Multi-Function Switch To Positive Short Circuit Engine Electronics
P0396,Thermostat Heating Control System High Wiring Loose Pin Connections Thermostat Heating To Positive Short Circuit Engine Electronics
